date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,Marketplace Facilitator Tax,selling fees,fba fees,other transaction fees,other,total
"Nov 20, 2017 9:22:30 PM PST",6505001751,Order,113-7448629-8552251,PI-6U0R-KV33,GMDdecals Love and Coffee Inspired Quote Décor Wall Decal [BLACK]- 12 Inches x 24 Inches,1,amazon.com,Amazon,LOWELL,IN,46356-8501,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 20, 2017 10:14:04 PM PST",6505001751,Order,113-7354512-2661849,HPSPELLS2-BLK,Harry Potter Inspired Wizard 12 Different Spells QuoteSET TWO [BLACK] Vinyl Decal for Stairs or Wall by GMDdecals Dumbledore Fantastic Beasts Hogwarts,1,amazon.com,Amazon,Parrish,Florida,34219,36,0,0,0,2.52,0,-5.4,-2.88,-0.07,0,30.17
"Nov 21, 2017 3:00:12 AM PST",6505001751,Order,113-2388727-2589026,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,Erie,PA,16510,22,0.42,0,-0.42,0,0,-3.3,-2.88,0,0,15.82
"Nov 21, 2017 8:50:51 AM PST",6505946951,Order,112-0785869-1150631,DRWHOSET-BLK,"Quote Set [BLACK] Large Vinyl Wall Stairs Decal by GMDdecals ONEliners Collection? 24"" x 2-4"" EACH QUOTE Dr Who Inspired Tardis Dalek Décor",1,amazon.com,Amazon,DERRY,NH,03038-1611,38,0,0,0,0,0,-5.7,-2.88,0,0,29.42
"Nov 21, 2017 9:05:43 AM PST",6505946951,Order,112-8440816-7151410,LTDKSIRIUS-WHT,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [WHITE] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,WILLIAMSTOWN,WV,26187-1529,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Nov 21, 2017 9:50:15 AM PST",6505946951,Order,111-7267127-9427425,HPMM-GRYBLU,"Ministry of Magic Harry Potter Inspired Bathroom Toilet Vinyl Wall Decals [GREY/BLUE] by GMDdecals 10"" x 11"" Hogwarts Spell Wizard Storybook Décor",1,amazon.com,Amazon,BROOKLYN,NY,11234-3454,12,0,0,0,0,0,-1.8,-2.39,0,0,7.81
"Nov 21, 2017 9:58:44 AM PST",6505946951,Order,113-3250767-8694624,TRUFFULATREESET5,Dr Seuss Truffula Trees Assorted Set Vinyl Wall Decal Children Bedroom Nursery Décor Storybook Gift,1,amazon.com,Amazon,FLUSHING,NY,11365-4313,42,0,0,0,0,0,-6.3,-2.88,0,0,32.82
"Nov 21, 2017 10:04:43 AM PST",6505946951,Transfer,,,To account ending with: 531,,,,,,,0,0,0,0,0,0,0,0,0,-412.6,-412.6
"Nov 21, 2017 12:46:19 PM PST",6505946951,Order,113-3030286-6327410,PI-6U0R-KV33,GMDdecals Love and Coffee Inspired Quote Décor Wall Decal [BLACK]- 12 Inches x 24 Inches,1,amazon.com,Amazon,Bucyrus,Ohio,44820,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 21, 2017 1:25:17 PM PST",6505946951,Order,111-3906326-3922639,LITQUOTES-BLK,"GMDdecals Classic Literature Books Quote Set LARGE Wall or Stairs Vinyl Wall Decor Decals [GLOSSY BLACK]- 24"" x 2-4"" each quote -Adhesive High Glossy",1,amazon.com,Amazon,WOODBRIDGE,NJ,07095-3033,38,0,0,0,0,0,-5.7,-2.88,0,0,29.42
